province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active
Hong Kong,Hong Kong,2020-01-22,,,,,,,
Taiwan,Taiwan,2020-01-22,,,,1,,,
,Japan,2020-01-22,,,,2,,,
Hong Kong,Hong Kong,2020-01-23,,,,2,,,
Taiwan,Taiwan,2020-01-23,,,,1,,,
,Japan,2020-01-23,,,,1,,,
Taiwan,Taiwan,2020-01-24,,,,3,,,
Hong Kong,Hong Kong,2020-01-24,,,,2,,,
,Japan,2020-01-24,,,,2,,,
Hong Kong,Hong Kong,2020-01-25,,,,5,,,
Taiwan,Taiwan,2020-01-25,,,,3,,,
,Japan,2020-01-25,,,,2,,,
Hong Kong,Hong Kong,2020-01-26,,,,8,,,
Taiwan,Taiwan,2020-01-26,,,,4,,,
,Japan,2020-01-26,,,,4,,1,
Hong Kong,Hong Kong,2020-01-27,,,,8,,,
Taiwan,Taiwan,2020-01-27,,,,5,,,
,Japan,2020-01-27,,,,4,,1,
Taiwan,Taiwan,2020-01-28,,,,8,,,
Hong Kong,Hong Kong,2020-01-28,,,,8,,,
,Japan,2020-01-28,,,,7,,1,
Hong Kong,Hong Kong,2020-01-29,,,,10,,,
Taiwan,Taiwan,2020-01-29,,,,8,,,
,Japan,2020-01-29,,,,7,,1,
Hong Kong,Hong Kong,2020-01-30,,,,10,,,
Taiwan,Taiwan,2020-01-30,,,,9,,,
,Japan,2020-01-30,,,,11,,1,
Hong Kong,Hong Kong,2020-01-31,,,,12,,,
Taiwan,Taiwan,2020-01-31,,,,10,,,
,Japan,2020-01-31,,,,15,,1,
,Japan,2020-02-01,,,,20,0,1,
Hong Kong,Hong Kong,2020-02-01,,,,13,0,0,
Taiwan,Taiwan,2020-02-01,,,,10,0,0,
,Japan,2020-02-02,,,,20,0,1,
Hong Kong,Hong Kong,2020-02-02,,,,15,0,0,
Taiwan,Taiwan,2020-02-02,,,,10,0,0,
,Japan,2020-02-03,,,,20,0,1,
Hong Kong,Hong Kong,2020-02-03,,,,15,0,0,
Taiwan,Taiwan,2020-02-03,,,,10,0,0,
,Japan,2020-02-04,,,,22,0,1,
Hong Kong,Hong Kong,2020-02-04,,,,17,1,0,
Taiwan,Taiwan,2020-02-04,,,,11,0,0,
,Japan,2020-02-05,,,,22,0,1,
Hong Kong,Hong Kong,2020-02-05,,,,21,1,0,
Taiwan,Taiwan,2020-02-05,,,,11,0,0,
,Japan,2020-02-06,,,,45,0,1,
Hong Kong,Hong Kong,2020-02-06,,,,24,1,0,
Taiwan,Taiwan,2020-02-06,,,,16,0,1,
Hong Kong,Hong Kong,2020-02-07,,,,25,1,0,
,Japan,2020-02-07,,,,25,0,1,
Taiwan,Taiwan,2020-02-07,,,,16,0,1,
Hong Kong,Hong Kong,2020-02-08,,,,26,1,0,
,Japan,2020-02-08,,,,25,0,1,
Taiwan,Taiwan,2020-02-08,,,,17,0,1,
Hong Kong,Hong Kong,2020-02-09,,,,29,1,0,
,Japan,2020-02-09,,,,26,0,1,
Taiwan,Taiwan,2020-02-09,,,,18,0,1,
Hong Kong,Hong Kong,2020-02-10,,,,38,1,0,
,Japan,2020-02-10,,,,26,0,4,
Taiwan,Taiwan,2020-02-10,,,,18,0,1,
Hong Kong,Hong Kong,2020-02-11,,,,49,1,0,
,Japan,2020-02-11,,,,26,0,9,
Taiwan,Taiwan,2020-02-11,,,,18,0,1,
Hong Kong,Hong Kong,2020-02-12,,,,50,1,1,
,Japan,2020-02-12,,,,28,0,9,
Taiwan,Taiwan,2020-02-12,,,,18,0,1,
Hong Kong,Hong Kong,2020-02-13,,,,53,1,1,
,Japan,2020-02-13,,,,28,1,9,
Taiwan,Taiwan,2020-02-13,,,,18,0,1,
Hong Kong,Hong Kong,2020-02-14,,,,56,1,1,
,Japan,2020-02-14,,,,29,1,9,
Taiwan,Taiwan,2020-02-14,,,,18,0,2,
Hong Kong,Hong Kong,2020-02-15,,,,56,1,1,
,Japan,2020-02-15,,,,43,1,12,
Taiwan,Taiwan,2020-02-15,,,,18,0,2,
,Japan,2020-02-16,,,,59,1,12,
Hong Kong,Hong Kong,2020-02-16,,,,57,1,2,
Taiwan,Taiwan,2020-02-16,,,,20,1,2,
,Japan,2020-02-17,,,,66,1,12,
Hong Kong,Hong Kong,2020-02-17,,,,60,1,2,
Taiwan,Taiwan,2020-02-17,,,,22,1,2,
,Japan,2020-02-18,,,,74,1,13,
Hong Kong,Hong Kong,2020-02-18,,,,62,1,2,
Taiwan,Taiwan,2020-02-18,,,,22,1,2,
,Japan,2020-02-19,,,,84,1,18,
Hong Kong,Hong Kong,2020-02-19,,,,63,2,5,
Taiwan,Taiwan,2020-02-19,,,,23,1,2,
,Japan,2020-02-20,,,,94,1,18,
Hong Kong,Hong Kong,2020-02-20,,,,68,2,6,
Taiwan,Taiwan,2020-02-20,,,,24,1,2,
,Japan,2020-02-21,,,,105,1,22,
Hong Kong,Hong Kong,2020-02-21,,,,68,2,5,
Taiwan,Taiwan,2020-02-21,,,,26,1,2,
,Japan,2020-02-22,,,,122,1,22,
Hong Kong,Hong Kong,2020-02-22,,,,69,2,6,
Taiwan,Taiwan,2020-02-22,,,,26,1,2,
,Japan,2020-02-23,,,,147,1,22,
Hong Kong,Hong Kong,2020-02-23,,,,74,2,11,
Taiwan,Taiwan,2020-02-23,,,,28,1,2,
,Japan,2020-02-24,,,,159,1,22,
Hong Kong,Hong Kong,2020-02-24,,,,79,2,19,
Taiwan,Taiwan,2020-02-24,,,,30,1,5,
,Japan,2020-02-25,,,,170,1,22,
Hong Kong,Hong Kong,2020-02-25,,,,84,2,19,
Taiwan,Taiwan,2020-02-25,,,,31,1,5,
,Japan,2020-02-26,,,,189,2,22,
Hong Kong,Hong Kong,2020-02-26,,,,91,2,24,
Taiwan,Taiwan,2020-02-26,,,,32,1,5,
,Japan,2020-02-27,,,,214,4,22,
Hong Kong,Hong Kong,2020-02-27,,,,92,2,24,
Taiwan,Taiwan,2020-02-27,,,,32,1,5,
,Japan,2020-02-28,,,,228,4,22,
Hong Kong,Hong Kong,2020-02-28,,,,94,2,30,
Taiwan,Taiwan,2020-02-28,,,,34,1,6,
,Japan,2020-02-29,,,,241,5,32,
Hong Kong,Hong Kong,2020-02-29,,,,95,2,33,
Taiwan,Taiwan,2020-02-29,,,,39,1,9,
,Japan,2020-03-01,36,138,POINT(138 36),256,6,32,
Hong Kong,Hong Kong,2020-03-01,22.3,114.2,POINT(114.2 22.3),96,2,36,
Taiwan,Taiwan,2020-03-01,23.7,121,POINT(121 23.7),40,1,9,
,Japan,2020-03-02,36,138,POINT(138 36),274,6,32,
Hong Kong,Hong Kong,2020-03-02,22.3,114.2,POINT(114.2 22.3),100,2,36,
Taiwan,Taiwan,2020-03-02,23.7,121,POINT(121 23.7),41,1,12,
,Japan,2020-03-03,36,138,POINT(138 36),293,6,43,
Hong Kong,Hong Kong,2020-03-03,22.3,114.2,POINT(114.2 22.3),100,2,37,
Taiwan,Taiwan,2020-03-03,23.7,121,POINT(121 23.7),42,1,12,
,Japan,2020-03-04,36,138,POINT(138 36),331,6,43,
Hong Kong,Hong Kong,2020-03-04,22.3,114.2,POINT(114.2 22.3),105,2,37,
Taiwan,Taiwan,2020-03-04,23.7,121,POINT(121 23.7),42,1,12,
,Japan,2020-03-05,36,138,POINT(138 36),360,6,43,
Hong Kong,Hong Kong,2020-03-05,22.3,114.2,POINT(114.2 22.3),105,2,43,
Taiwan,Taiwan,2020-03-05,23.7,121,POINT(121 23.7),44,1,12,
,Japan,2020-03-06,36,138,POINT(138 36),420,6,46,
Hong Kong,Hong Kong,2020-03-06,22.3,114.2,POINT(114.2 22.3),107,2,46,
Taiwan,Taiwan,2020-03-06,23.7,121,POINT(121 23.7),45,1,12,
,Japan,2020-03-07,36,138,POINT(138 36),461,6,76,
Hong Kong,Hong Kong,2020-03-07,22.3,114.2,POINT(114.2 22.3),108,2,51,
Taiwan,Taiwan,2020-03-07,23.7,121,POINT(121 23.7),45,1,12,
,Japan,2020-03-08,36,138,POINT(138 36),502,6,76,
Hong Kong,Hong Kong,2020-03-08,22.3,114.2,POINT(114.2 22.3),114,3,58,
Taiwan,Taiwan,2020-03-08,23.7,121,POINT(121 23.7),45,1,13,
,Japan,2020-03-09,36,138,POINT(138 36),511,17,76,
Hong Kong,Hong Kong,2020-03-09,22.3,114.2,POINT(114.2 22.3),115,3,59,
Taiwan,Taiwan,2020-03-09,23.7,121,POINT(121 23.7),45,1,15,
,Japan,2020-03-10,36,138,POINT(138 36),581,10,101,
,Mongolia,2020-03-10,46.8625,103.8467,POINT(103.8467 46.8625),1,0,0,
Hubei,China,2020-03-11,30.9756,112.2707,POINT(112.2707 30.9756),67773,3046,49134,
,"Korea, South",2020-03-11,36,128,POINT(128 36),7755,60,288,
Guangdong,China,2020-03-11,23.3417,113.4244,POINT(113.4244 23.3417),1356,8,1282,
Henan,China,2020-03-11,33.882,113.614,POINT(113.614 33.882),1273,22,1249,
Zhejiang,China,2020-03-11,29.1832,120.0934,POINT(120.0934 29.1832),1215,1,1195,
Hunan,China,2020-03-11,27.6104,111.7088,POINT(111.7088 27.6104),1018,4,995,
Anhui,China,2020-03-11,31.8257,117.2264,POINT(117.2264 31.8257),990,6,984,
Jiangxi,China,2020-03-11,27.614,115.7221,POINT(115.7221 27.614),935,1,932,
Shandong,China,2020-03-11,36.3427,118.1498,POINT(118.1498 36.3427),760,6,726,
,Japan,2020-03-11,36,138,POINT(138 36),639,15,118,
Jiangsu,China,2020-03-11,32.9711,119.455,POINT(119.455 32.9711),631,0,627,
Chongqing,China,2020-03-11,30.0572,107.874,POINT(107.874 30.0572),576,6,554,
Sichuan,China,2020-03-11,30.6171,102.7103,POINT(102.7103 30.6171),539,3,488,
Heilongjiang,China,2020-03-11,47.862,127.7615,POINT(127.7615 47.862),482,13,436,
Beijing,China,2020-03-11,40.1824,116.4142,POINT(116.4142 40.1824),435,8,326,
Shanghai,China,2020-03-11,31.202,121.4491,POINT(121.4491 31.202),344,3,320,
Hebei,China,2020-03-11,39.549,116.1306,POINT(116.1306 39.549),318,6,307,
Fujian,China,2020-03-11,26.0789,117.9874,POINT(117.9874 26.0789),296,1,295,
Guangxi,China,2020-03-11,23.8298,108.7881,POINT(108.7881 23.8298),252,2,238,
Shaanxi,China,2020-03-11,35.1917,108.8701,POINT(108.8701 35.1917),245,1,232,
Yunnan,China,2020-03-11,24.974,101.487,POINT(101.487 24.974),174,2,170,
Hainan,China,2020-03-11,19.1959,109.7453,POINT(109.7453 19.1959),168,6,159,
Guizhou,China,2020-03-11,26.8154,106.8748,POINT(106.8748 26.8154),146,2,133,
Tianjin,China,2020-03-11,39.3054,117.323,POINT(117.323 39.3054),136,3,131,
Shanxi,China,2020-03-11,37.5777,112.2922,POINT(112.2922 37.5777),133,0,131,
Gansu,China,2020-03-11,37.8099,101.0583,POINT(101.0583 37.8099),127,2,88,
Hong Kong,China,2020-03-11,22.3,114.2,POINT(114.2 22.3),126,3,65,
Liaoning,China,2020-03-11,41.2956,122.6085,POINT(122.6085 41.2956),125,1,111,
Jilin,China,2020-03-11,43.6661,126.1923,POINT(126.1923 43.6661),93,1,91,
Xinjiang,China,2020-03-11,41.1129,85.2401,POINT(85.2401 41.1129),76,3,73,
Inner Mongolia,China,2020-03-11,44.0935,113.9448,POINT(113.9448 44.0935),75,1,71,
Ningxia,China,2020-03-11,37.2692,106.1655,POINT(106.1655 37.2692),75,0,72,
Qinghai,China,2020-03-11,35.7452,95.9956,POINT(95.9956 35.7452),18,0,18,
Macau,China,2020-03-11,22.1667,113.55,POINT(113.55 22.1667),10,0,10,
Tibet,China,2020-03-11,31.6927,88.0924,POINT(88.0924 31.6927),1,0,1,
,Mongolia,2020-03-11,46.8625,103.8467,POINT(103.8467 46.8625),1,0,0,
Hubei,China,2020-03-12,30.9756,112.2707,POINT(112.2707 30.9756),67781,3056,50318,
,"Korea, South",2020-03-12,36,128,POINT(128 36),7869,66,333,
Guangdong,China,2020-03-12,23.3417,113.4244,POINT(113.4244 23.3417),1356,8,1289,
Henan,China,2020-03-12,33.882,113.614,POINT(113.614 33.882),1273,22,1249,
Zhejiang,China,2020-03-12,29.1832,120.0934,POINT(120.0934 29.1832),1215,1,1197,
Hunan,China,2020-03-12,27.6104,111.7088,POINT(111.7088 27.6104),1018,4,999,
Anhui,China,2020-03-12,31.8257,117.2264,POINT(117.2264 31.8257),990,6,984,
Jiangxi,China,2020-03-12,27.614,115.7221,POINT(115.7221 27.614),935,1,934,
Shandong,China,2020-03-12,36.3427,118.1498,POINT(118.1498 36.3427),760,6,734,
,Japan,2020-03-12,36,138,POINT(138 36),639,16,118,
Jiangsu,China,2020-03-12,32.9711,119.455,POINT(119.455 32.9711),631,0,629,
Chongqing,China,2020-03-12,30.0572,107.874,POINT(107.874 30.0572),576,6,564,
Sichuan,China,2020-03-12,30.6171,102.7103,POINT(102.7103 30.6171),539,3,498,
Heilongjiang,China,2020-03-12,47.862,127.7615,POINT(127.7615 47.862),482,13,441,
Beijing,China,2020-03-12,40.1824,116.4142,POINT(116.4142 40.1824),435,8,334,
Shanghai,China,2020-03-12,31.202,121.4491,POINT(121.4491 31.202),344,3,321,
Hebei,China,2020-03-12,39.549,116.1306,POINT(116.1306 39.549),318,6,308,
Fujian,China,2020-03-12,26.0789,117.9874,POINT(117.9874 26.0789),296,1,295,
Guangxi,China,2020-03-12,23.8298,108.7881,POINT(108.7881 23.8298),252,2,241,
Shaanxi,China,2020-03-12,35.1917,108.8701,POINT(108.8701 35.1917),245,2,232,
Yunnan,China,2020-03-12,24.974,101.487,POINT(101.487 24.974),174,2,170,
Hainan,China,2020-03-12,19.1959,109.7453,POINT(109.7453 19.1959),168,6,160,
Guizhou,China,2020-03-12,26.8154,106.8748,POINT(106.8748 26.8154),146,2,137,
Tianjin,China,2020-03-12,39.3054,117.323,POINT(117.323 39.3054),136,3,132,
Shanxi,China,2020-03-12,37.5777,112.2922,POINT(112.2922 37.5777),133,0,132,
Hong Kong,China,2020-03-12,22.3,114.2,POINT(114.2 22.3),129,3,67,
Gansu,China,2020-03-12,37.8099,101.0583,POINT(101.0583 37.8099),127,2,88,
Liaoning,China,2020-03-12,41.2956,122.6085,POINT(122.6085 41.2956),125,1,112,
Jilin,China,2020-03-12,43.6661,126.1923,POINT(126.1923 43.6661),93,1,91,
Xinjiang,China,2020-03-12,41.1129,85.2401,POINT(85.2401 41.1129),76,3,73,
Inner Mongolia,China,2020-03-12,44.0935,113.9448,POINT(113.9448 44.0935),75,1,71,
Ningxia,China,2020-03-12,37.2692,106.1655,POINT(106.1655 37.2692),75,0,72,
Qinghai,China,2020-03-12,35.7452,95.9956,POINT(95.9956 35.7452),18,0,18,
Macau,China,2020-03-12,22.1667,113.55,POINT(113.55 22.1667),10,0,10,
Tibet,China,2020-03-12,31.6927,88.0924,POINT(88.0924 31.6927),1,0,1,
,Mongolia,2020-03-12,46.8625,103.8467,POINT(103.8467 46.8625),1,0,0,
Hubei,China,2020-03-13,30.9756,112.2707,POINT(112.2707 30.9756),67786,3062,51553,
Guangdong,China,2020-03-13,23.3417,113.4244,POINT(113.4244 23.3417),1356,8,1296,
Henan,China,2020-03-13,33.882,113.614,POINT(113.614 33.882),1273,22,1249,
Zhejiang,China,2020-03-13,29.1832,120.0934,POINT(120.0934 29.1832),1215,1,1197,
Hunan,China,2020-03-13,27.6104,111.7088,POINT(111.7088 27.6104),1018,4,1005,
Anhui,China,2020-03-13,31.8257,117.2264,POINT(117.2264 31.8257),990,6,984,
Jiangxi,China,2020-03-13,27.614,115.7221,POINT(115.7221 27.614),935,1,934,
Shandong,China,2020-03-13,36.3427,118.1498,POINT(118.1498 36.3427),760,7,739,
Jiangsu,China,2020-03-13,32.9711,119.455,POINT(119.455 32.9711),631,0,630,
Chongqing,China,2020-03-13,30.0572,107.874,POINT(107.874 30.0572),576,6,566,
Sichuan,China,2020-03-13,30.6171,102.7103,POINT(102.7103 30.6171),539,3,503,
Heilongjiang,China,2020-03-13,47.862,127.7615,POINT(127.7615 47.862),482,13,446,
Beijing,China,2020-03-13,40.1824,116.4142,POINT(116.4142 40.1824),436,8,342,
Shanghai,China,2020-03-13,31.202,121.4491,POINT(121.4491 31.202),346,3,324,
Hebei,China,2020-03-13,38.0428,114.5149,POINT(114.5149 38.0428),318,6,310,
Fujian,China,2020-03-13,26.0789,117.9874,POINT(117.9874 26.0789),296,1,295,
Guangxi,China,2020-03-13,23.8298,108.7881,POINT(108.7881 23.8298),252,2,243,
Shaanxi,China,2020-03-13,35.1917,108.8701,POINT(108.8701 35.1917),245,2,232,
Yunnan,China,2020-03-13,24.974,101.487,POINT(101.487 24.974),174,2,170,
Hainan,China,2020-03-13,19.1959,109.7453,POINT(109.7453 19.1959),168,6,160,
Guizhou,China,2020-03-13,26.8154,106.8748,POINT(106.8748 26.8154),146,2,140,
Tianjin,China,2020-03-13,39.3054,117.323,POINT(117.323 39.3054),136,3,132,
Hong Kong,China,2020-03-13,22.3,114.2,POINT(114.2 22.3),134,4,77,
Shanxi,China,2020-03-13,37.5777,112.2922,POINT(112.2922 37.5777),133,0,133,
Gansu,China,2020-03-13,36.0611,103.8343,POINT(103.8343 36.0611),127,2,88,
Liaoning,China,2020-03-13,41.2956,122.6085,POINT(122.6085 41.2956),125,1,112,
Xinjiang,China,2020-03-13,41.1129,85.2401,POINT(85.2401 41.1129),76,3,73,
Inner Mongolia,China,2020-03-13,44.0935,113.9448,POINT(113.9448 44.0935),75,1,71,
Ningxia,China,2020-03-13,37.2692,106.1655,POINT(106.1655 37.2692),75,0,72,
Jilin,China,2020-03-13,43.6661,126.1923,POINT(126.1923 43.6661),93,1,91,
Qinghai,China,2020-03-13,35.7452,95.9956,POINT(95.9956 35.7452),18,0,18,
Macau,China,2020-03-13,22.1667,113.55,POINT(113.55 22.1667),10,0,10,
Tibet,China,2020-03-13,31.6927,88.0924,POINT(88.0924 31.6927),1,0,1,
,Japan,2020-03-13,36.2048,138.2529,POINT(138.2529 36.2048),701,19,118,
,"Korea, South",2020-03-13,35.9078,127.7669,POINT(127.7669 35.9078),7979,66,510,
,Mongolia,2020-03-13,46.8625,103.8467,POINT(103.8467 46.8625),1,0,0,
Hubei,China,2020-03-14,30.9756,112.2707,POINT(112.2707 30.9756),67790,3075,52960,
,"Korea, South",2020-03-14,35.9078,127.7669,POINT(127.7669 35.9078),8086,72,510,
Guangdong,China,2020-03-14,23.3417,113.4244,POINT(113.4244 23.3417),1356,8,1299,
Henan,China,2020-03-14,33.882,113.614,POINT(113.614 33.882),1273,22,1250,
Zhejiang,China,2020-03-14,29.1832,120.0934,POINT(120.0934 29.1832),1227,1,1211,
Hunan,China,2020-03-14,27.6104,111.7088,POINT(111.7088 27.6104),1018,4,1014,
Anhui,China,2020-03-14,31.8257,117.2264,POINT(117.2264 31.8257),990,6,984,
Jiangxi,China,2020-03-14,27.614,115.7221,POINT(115.7221 27.614),935,1,934,
,Japan,2020-03-14,36.2048,138.2529,POINT(138.2529 36.2048),773,22,118,
Shandong,China,2020-03-14,36.3427,118.1498,POINT(118.1498 36.3427),760,7,741,
Jiangsu,China,2020-03-14,32.9711,119.455,POINT(119.455 32.9711),631,0,630,
Chongqing,China,2020-03-14,30.0572,107.874,POINT(107.874 30.0572),576,6,569,
Sichuan,China,2020-03-14,30.6171,102.7103,POINT(102.7103 30.6171),539,3,511,
Heilongjiang,China,2020-03-14,47.862,127.7615,POINT(127.7615 47.862),482,13,447,
Beijing,China,2020-03-14,40.1824,116.4142,POINT(116.4142 40.1824),437,8,349,
Shanghai,China,2020-03-14,31.202,121.4491,POINT(121.4491 31.202),353,3,324,
Hebei,China,2020-03-14,38.0428,114.5149,POINT(114.5149 38.0428),318,6,310,
Fujian,China,2020-03-14,26.0789,117.9874,POINT(117.9874 26.0789),296,1,295,
Guangxi,China,2020-03-14,23.8298,108.7881,POINT(108.7881 23.8298),252,2,243,
Shaanxi,China,2020-03-14,35.1917,108.8701,POINT(108.8701 35.1917),245,2,232,
Yunnan,China,2020-03-14,24.974,101.487,POINT(101.487 24.974),174,2,172,
Hainan,China,2020-03-14,19.1959,109.7453,POINT(109.7453 19.1959),168,6,160,
Guizhou,China,2020-03-14,26.8154,106.8748,POINT(106.8748 26.8154),146,2,143,
Hong Kong,China,2020-03-14,22.3,114.2,POINT(114.2 22.3),140,4,78,
Tianjin,China,2020-03-14,39.3054,117.323,POINT(117.323 39.3054),136,3,132,
Shanxi,China,2020-03-14,37.5777,112.2922,POINT(112.2922 37.5777),133,0,133,
Gansu,China,2020-03-14,36.0611,103.8343,POINT(103.8343 36.0611),129,2,89,
Liaoning,China,2020-03-14,41.2956,122.6085,POINT(122.6085 41.2956),125,1,113,
Jilin,China,2020-03-14,43.6661,126.1923,POINT(126.1923 43.6661),93,1,91,
Xinjiang,China,2020-03-14,41.1129,85.2401,POINT(85.2401 41.1129),76,3,73,
Inner Mongolia,China,2020-03-14,44.0935,113.9448,POINT(113.9448 44.0935),75,1,71,
Ningxia,China,2020-03-14,37.2692,106.1655,POINT(106.1655 37.2692),75,0,73,
Qinghai,China,2020-03-14,35.7452,95.9956,POINT(95.9956 35.7452),18,0,18,
Macau,China,2020-03-14,22.1667,113.55,POINT(113.55 22.1667),10,0,10,
Tibet,China,2020-03-14,31.6927,88.0924,POINT(88.0924 31.6927),1,0,1,
,Mongolia,2020-03-14,46.8625,103.8467,POINT(103.8467 46.8625),1,0,0,
Hubei,China,2020-03-15,30.9756,112.2707,POINT(112.2707 30.9756),67794,3085,54288,
,"Korea, South",2020-03-15,35.9078,127.7669,POINT(127.7669 35.9078),8162,75,510,
Guangdong,China,2020-03-15,23.3417,113.4244,POINT(113.4244 23.3417),1360,8,1304,
Henan,China,2020-03-15,33.882,113.614,POINT(113.614 33.882),1273,22,1250,
Zhejiang,China,2020-03-15,29.1832,120.0934,POINT(120.0934 29.1832),1231,1,1211,
Hunan,China,2020-03-15,27.6104,111.7088,POINT(111.7088 27.6104),1018,4,1014,
Anhui,China,2020-03-15,31.8257,117.2264,POINT(117.2264 31.8257),990,6,984,
Jiangxi,China,2020-03-15,27.614,115.7221,POINT(115.7221 27.614),935,1,934,
,Japan,2020-03-15,36.2048,138.2529,POINT(138.2529 36.2048),839,22,118,
Shandong,China,2020-03-15,36.3427,118.1498,POINT(118.1498 36.3427),760,7,741,
Jiangsu,China,2020-03-15,32.9711,119.455,POINT(119.455 32.9711),631,0,631,
Chongqing,China,2020-03-15,30.0572,107.874,POINT(107.874 30.0572),576,6,570,
Sichuan,China,2020-03-15,30.6171,102.7103,POINT(102.7103 30.6171),539,3,516,
Heilongjiang,China,2020-03-15,47.862,127.7615,POINT(127.7615 47.862),482,13,453,
Beijing,China,2020-03-15,40.1824,116.4142,POINT(116.4142 40.1824),442,8,353,
Shanghai,China,2020-03-15,31.202,121.4491,POINT(121.4491 31.202),353,3,324,
Hebei,China,2020-03-15,38.0428,114.5149,POINT(114.5149 38.0428),318,6,310,
Fujian,China,2020-03-15,26.0789,117.9874,POINT(117.9874 26.0789),296,1,295,
Guangxi,China,2020-03-15,23.8298,108.7881,POINT(108.7881 23.8298),252,2,243,
Shaanxi,China,2020-03-15,35.1917,108.8701,POINT(108.8701 35.1917),245,2,232,
Yunnan,China,2020-03-15,24.974,101.487,POINT(101.487 24.974),174,2,172,
Hainan,China,2020-03-15,19.1959,109.7453,POINT(109.7453 19.1959),168,6,160,
Guizhou,China,2020-03-15,26.8154,106.8748,POINT(106.8748 26.8154),146,2,143,
Hong Kong,China,2020-03-15,22.3,114.2,POINT(114.2 22.3),145,4,81,
Tianjin,China,2020-03-15,39.3054,117.323,POINT(117.323 39.3054),136,3,133,
Gansu,China,2020-03-15,36.0611,103.8343,POINT(103.8343 36.0611),133,2,91,
Shanxi,China,2020-03-15,37.5777,112.2922,POINT(112.2922 37.5777),133,0,133,
Liaoning,China,2020-03-15,41.2956,122.6085,POINT(122.6085 41.2956),125,1,114,
Jilin,China,2020-03-15,43.6661,126.1923,POINT(126.1923 43.6661),93,1,91,
Xinjiang,China,2020-03-15,41.1129,85.2401,POINT(85.2401 41.1129),76,3,73,
Inner Mongolia,China,2020-03-15,44.0935,113.9448,POINT(113.9448 44.0935),75,1,71,
Ningxia,China,2020-03-15,37.2692,106.1655,POINT(106.1655 37.2692),75,0,73,
Qinghai,China,2020-03-15,35.7452,95.9956,POINT(95.9956 35.7452),18,0,18,
Macau,China,2020-03-15,22.1667,113.55,POINT(113.55 22.1667),10,0,10,
Tibet,China,2020-03-15,31.6927,88.0924,POINT(88.0924 31.6927),1,0,1,
,Mongolia,2020-03-15,46.8625,103.8467,POINT(103.8467 46.8625),1,0,0,
Hubei,China,2020-03-16,30.9756,112.2707,POINT(112.2707 30.9756),67798,3099,55142,
,"Korea, South",2020-03-16,35.9078,127.7669,POINT(127.7669 35.9078),8236,75,1137,
Guangdong,China,2020-03-16,23.3417,113.4244,POINT(113.4244 23.3417),1361,8,1306,
Henan,China,2020-03-16,33.882,113.614,POINT(113.614 33.882),1273,22,1250,
Zhejiang,China,2020-03-16,29.1832,120.0934,POINT(120.0934 29.1832),1231,1,1216,
Hunan,China,2020-03-16,27.6104,111.7088,POINT(111.7088 27.6104),1018,4,1014,
Anhui,China,2020-03-16,31.8257,117.2264,POINT(117.2264 31.8257),990,6,984,
Jiangxi,China,2020-03-16,27.614,115.7221,POINT(115.7221 27.614),935,1,934,
,Japan,2020-03-16,36.2048,138.2529,POINT(138.2529 36.2048),825,27,144,
Shandong,China,2020-03-16,36.3427,118.1498,POINT(118.1498 36.3427),760,7,746,
Jiangsu,China,2020-03-16,32.9711,119.455,POINT(119.455 32.9711),631,0,631,
Chongqing,China,2020-03-16,30.0572,107.874,POINT(107.874 30.0572),576,6,570,
Sichuan,China,2020-03-16,30.6171,102.7103,POINT(102.7103 30.6171),539,3,516,
Heilongjiang,China,2020-03-16,47.862,127.7615,POINT(127.7615 47.862),482,13,455,
Beijing,China,2020-03-16,40.1824,116.4142,POINT(116.4142 40.1824),452,8,360,
Shanghai,China,2020-03-16,31.202,121.4491,POINT(121.4491 31.202),355,3,325,
Hebei,China,2020-03-16,38.0428,114.5149,POINT(114.5149 38.0428),318,6,310,
Fujian,China,2020-03-16,26.0789,117.9874,POINT(117.9874 26.0789),296,1,295,
Guangxi,China,2020-03-16,23.8298,108.7881,POINT(108.7881 23.8298),252,2,248,
Shaanxi,China,2020-03-16,35.1917,108.8701,POINT(108.8701 35.1917),245,2,233,
Yunnan,China,2020-03-16,24.974,101.487,POINT(101.487 24.974),176,2,172,
Hainan,China,2020-03-16,19.1959,109.7453,POINT(109.7453 19.1959),168,6,161,
Hong Kong,China,2020-03-16,22.3,114.2,POINT(114.2 22.3),155,4,84,
Guizhou,China,2020-03-16,26.8154,106.8748,POINT(106.8748 26.8154),146,2,144,
Tianjin,China,2020-03-16,39.3054,117.323,POINT(117.323 39.3054),136,3,133,
Gansu,China,2020-03-16,36.0611,103.8343,POINT(103.8343 36.0611),133,2,91,
Shanxi,China,2020-03-16,37.5777,112.2922,POINT(112.2922 37.5777),133,0,133,
Liaoning,China,2020-03-16,41.2956,122.6085,POINT(122.6085 41.2956),125,1,115,
Jilin,China,2020-03-16,43.6661,126.1923,POINT(126.1923 43.6661),93,1,92,
Xinjiang,China,2020-03-16,41.1129,85.2401,POINT(85.2401 41.1129),76,3,73,
Inner Mongolia,China,2020-03-16,44.0935,113.9448,POINT(113.9448 44.0935),75,1,73,
Ningxia,China,2020-03-16,37.2692,106.1655,POINT(106.1655 37.2692),75,0,75,
Qinghai,China,2020-03-16,35.7452,95.9956,POINT(95.9956 35.7452),18,0,18,
